,text,label
0,was hoping use is really locked not change still cheap fine watching ,2
1,works fine is responsive good is too tied amazon requires too many get apps such work amazon loosens only very good ,2
2,reading have not used else yet ,2
3,have got cheap black is not great very bad install google good ,2
4,is good video however has dropped android as far tell have run old just fine are extremely problematic is everyday does not work new so have keep old recommend seeing is supported dropping ,2
5,is not sharp vivid say still good probably better reading watching did not really get is good works well internet is fast ,2
6,good easy use priced low give ,2
7,much harder work android downloaded many other apps other is prettier more responsive cheaper make look android is not is just harder work regular exceeds is more responsive other ,2
8,had loved unfortunately got damaged not replace purchased exchanged did not have was used ,2
9,is great however limited personally wish were mirror tv having purchase streaming also use is major set back were not complaint give ,2
10,was good bought basically only wanted youtube was good not great had was kept dropping wifi have been defect returned got ,2
11,is great audible amazon included is not best purchased expanded sd more cover biggest have is is slow compared tends freeze so often about more consider instead ,2
12,worse not keep not satisfied ,2
13,not very fancy not slow have amazon prime have great free same goes free rentals is not so great are outdated still work just not latest expect does offer free normally pay decent good do not want fancy ,2
14,know is not powerful best is okay just read surf want enjoy is not is slow does not have expect appstore even based few let install overall satisfied is helpful ,2
15,is just average slow is good ,2
16,stopped working owning came back ,2
17,is definitely recommended are looking medium usage is snappy quick lag installing multiple apps is good are few essential are not available install using black ,2
18,sudden has stoped charging have only used few short get best be helped ,2
19,first is going slow sometimes overall good ,2
20,is second have purchased first returned was not able load amazon take was just unfriendly make work new has heard now enjoying well built sub not stand ,2
21,have wound be much more helpful came simple basic ,2
22,first worked then stopped took back got lasted almost again took back was told had deal found thru amazon simply froze reset was upset associate knew had ,2
23,little slow does not have many ,2
24,did not do depth particular were good wanted only is not being able clear relocate so see personal ,2
25,not be being said had return just not get low works well needed also show ,2
26,bought is learn use was right use search ,2
27,have had was introduced jumped kindle replaced first had was wanted past started overheating got nonresponsive so got miss get rid secondly not put favorite old work lastly most importantly once freezes only turning leaving awhile back turns seems happen close move new not expect have been happy ,2
28,wry basic guess ok bought old ,2
29,bought senior be easier ,2
30,is decent netflix trying use going screen locking random doing same returned buying mini build is just not there ,2
31,is good cheap enough destroy not get upset ,2
32,recommend right wants low ended returning was heavy too wide hold was too big hold too small use larger ended up just using was more flexible only heavier ,2
33,very helpful friendly did not have too much was looking found needed ,2
34,was looking cheap use black friday good ,2
35,gave still not get set have go geek help ,2
36,bought impulse excellent black amazon offers amazon get google requires just discovered not save only hdx has used kindle get email other wifi only traveling not want take expensive is good ,2
37,was purchased black friday felt was steal first purchased few ago was original fire following purchased now have already know does not have explandable have expanded gb so was good setting new up noticed viewing were not as clear original mini even had greenish yellowish not notice do not have else compare pro photographer so was quite unaceptable was not expecting skin appeared greenish were also like read tech many are pdf format read kindle still not display cover etc displays instead have large have read instead being able select seeing was enough ve been spoiled accurate back prompt went overall still good are used am be disappointed ,2
38,well does not offer android need is not useful ,2
39,well lacks forward left good short never do substantial external basic ,2
40,bought black actually thursday not cool had buy extra not great ,2
41,hoped be faster old not so much expected new perform better still lags is slow load surfing is light ahead do expect ,2
42,is older probobly expected too much going deal prefer ,2
43,does need alight small easy take ,2
44,best enough ,2
45,great shoves amazon stuff is linked buy haveit set ,2
46,nice just wish had ,2
47,have works okay netflix take longer load many get are not available still say go ,2
48,is not very sharp not download ,2
49,nice usual get started ,2
50,ok added device more apps do ,2
51,still playing figuring not do love got sure have are not so not put ,2
52,really wanted give did end returning huge upgrade cheaper honestly do not think purchase handle getting are heavily invested prime make great think is intended more having tried cheaper amazon just were not worth end seeking used ipad mini instead ,2
53,is very good having being used doesnt sharp amazon lacks content overall good old ,2
54,upgraded old same old seem great graphical still sucks reading ,2
55,notice low compared ipad is somewhat limited side ,2
56,disappointed does not have ,2
57,had has more bigger lower is so ridiculously proprietary not watch is becoming standard too bad ,2
58,lasts long actually old more ,2
59,old loves however do experience ,2
60,upgraded original very happy does not compete more mainstream likes downloading library ,2
61,was great got was great ,2
62,really maybe not so great ,2
63,great however is bit clunky constant delete be turned other just keep appearing surprisingly is less intuitive ,2
64,great moneyenough handle android slow using few weekslow ,2
65,good is there re limited apps ,2
66,previously owned was excited getting using started notice were able cut was not was slower were not as loud previous overall good are expecting went previous look elsewhere ,2
67,got old really likes is good learn using ,2
68,overall is great sometimes freezes other apps great is great ,2
69,built is great taking is pretty fast responsive however amazon operating is horrible miss just do not work as good such do not have also not work ,2
70,is good basic ened returning going met more be good limited ,2
71,paid is ,2
72,was expecting android discovered was not reading returned bought probably recommend wanted reading ,2
73,bought kindle went best asked best are apparently need put did ask had was told yes think need have special app is not manual getting most use kindle get online kindle use needs more go best ,2
74,unable download ,2
75,low priced has good good reasonable am bit peeved rather intrusive adds am also unhappy not load am used using android overall had spent more real android rather having limited ,2
76,had sideload be able download use google web was designed be exclusive amazon ,2
77,thought was be better is mother play next buy ,2
78,good not as smooth high limited amazon so do not expect do as much continue use recommend using buying ,2
79,have not even taken set ,2
80,not very user friendly intuitive very limited apps good viewing very limited capabilities other english few other are downloaded not be found ,2
81,not many apps first was already returned hope second is fine ,2
82,well possibly want is here thats expect being first gets turn annoying very handy very sleek use quick wifi however limited is compared android so ehhh ,2
83,good seems fairly robust biggest is putting apps least free do not have great put require turn tracking collect not let play ,2
84,good overall just not enough sd just love ,2
85,has is too short died took best said do not handle went amazon said go bought much amazon found help gave helped were able get going again manual help works again found be very functional listen spotify works great ,2
86,easy use handy downside is apparently not be shut not upload play downloaded youtube videos are online ,2
87,good enough great amazon ,2
88,is give nice is used mostly watch however restart is am not sure is causing ,2
89,purchased download too small was not ,2
90,bought replace older broke has more rear facing better feel does not work as well does not always respond freezes lot seem be little still decent ,2
91,are good solid not stand too many not get rid not as customizable does not bother good do not expect run not powerful enough ,2
92,kindle is perfect playing simple streaming away thin light ,2
93,is noticeable squarish rather then rectangular prefer is rather nice being best returned is flimsy was afraid drop break ,2
94,am returning had lighting first had white blue other was more yellow flipped upside down rotate use other went much darker other returned had read were had lighting bought second was worse see little half going also had much yellower overall first not easy hold was was too slippery weird say small female average sized think really did love was charging maybe make few lower try again ,2
95,owned kindle purchased lighted light left little be desired as far even lighting overall was very pleased based went ahead purchased lighted new not say has as been positive let start good powered is big is now centered is more even now do not use light often do be nice have more balanced positive is appreciate much lighter feels previous is smaller means less folding other took heavy never took kindle was put so have seen is not is tight so do not plan keep full be aware take get tight is exactly want vary now does feel very cheap especially previous felt solidly made new only feels sturdy was done minimize so realize is personal just does not look feel as well made textured previous leather feel very much real finally most stunning is read more ,2
96,decent little are not shuts down cant long not sure ,2
97,bought started well lately has been having has not been working only been little had going try hard see helps ,2
98,very slow good old use purchased do online is almost impossible do is great other ,2
99,good is too slow do is good reading only ,2
100,works find difficult navigate also have seems be less intuitive ,2
101,mean work fine fine here joke does not just ship charging first be able find non ll far less ,2
102,turns was not necessary being returned ,2
103,do find better cheaper bought initially charges faster not as fast had used couple finally gave also is not possible charge still use was able do previous really miss still better alternative ,2
104,have taken do not know really helps does not hurt have read favorable had quick ,2
105,do need do not really want works is okay ,2
106,does is suppose do overpriced ,2
107,serves ,2
108,fine not necessary had known charge not have bought ,2
109,functional be sure usb is firmly installed get ,2
110,did not need ,2
111,does is supposed do ,2
112,usb is outrageous have free ,2
113,is fine certainly be longer ,2
114,oem suppose worth more is excessive similar was purchased ,2
115,special just ,2
116,goes charging ,2
117,already have am sending back ,2
118,think needs be bit longer enable read charging ,2
119,does need has amazon expensive ,2
120,advertised however not imagine does not include other does not supply is essential include remember add get real is gave stars come stop misleading ,2
121,disappointed realize is not light is great ,2
122,is affordable had increased be better ,2
123,be as big small turn be just think is too small read not very comfortable regular definitely recommend instead ,2
124,is too small feels sd ,2
125,decent is so not good reading also slips so purchase buy ,2
126,is lock font changes touch liked white better died ,2
127,is pretty cool little able download read later only is wish had more works good ,2
128,be bigger earlier ,2
129,is good download catch ,2
130,does buy is brighter are difficult read is not too bright ,2
131,bought cause wanted read more did not happen tried just not read need old ,2
132,is difficult understand am still working ,2
133,kindle black was not good are read is sleeping does not have back light so unable read turning waking so returned went ,2
134,just broke rd kindle many had get new new has more intrusive is hard get loaded deleted collected even turn inadvertant wrong re hole really just want not ,2
135,was second did not realize was not white took exchanged white was not easy read ,2
136,thought replace love use watch great limited comes kids ,2
137,new is still earning navigate enjoys more tips small compact easy take read take listen ,2
