,negative,neutral,positive
aa,5.878863822823702,1.530895350152348,1.0080329436341493
aaa,0.0,5.678873587267573,2.095903274289385
aaaaahhhh,0.0,0.0,2.5
aaaawww,0.0,0.0,2.5
aadavantage,0.0,2.5,0.0
aadv,5.0,0.0,0.0
aadvantage,2.095903274289385,5.678873587267573,0.0
aah,0.0,0.0,2.5
aahoogendoorn,0.0,0.0,2.5
aaliyah,2.5,0.0,0.0
aamelia,0.0,0.0,2.5
aan,2.5,0.0,0.0
aaron,0.0,0.0,2.5
aaronshale,0.0,0.0,2.5
aaronstewart,0.0,0.0,2.5
aarp,5.678873587267573,0.0,2.095903274289385
ab,2.095903274289385,0.0,5.678873587267573
abandon,10.0,0.0,0.0
abandoned,10.0,0.0,0.0
abandonment,2.5,0.0,0.0
abbas,0.0,2.5,0.0
abbreviated,3.321928094887363,0.0,3.321928094887363
abbu,0.0,0.0,2.5
abc,3.321928094887363,3.321928094887363,0.0
abcnetwork,2.5,0.0,0.0
abd,0.0,0.0,2.5
abducted,0.0,2.5,0.0
abdul,2.5,0.0,0.0
abegruber,0.0,0.0,2.5
abelton,20.0,0.0,0.0
abhere,0.0,0.0,2.5
abhorrent,5.678873587267573,0.0,2.095903274289385
abi,0.0,2.5,0.0
abiban,0.0,0.0,2.5
abiding,2.5,0.0,0.0
abigailed,2.5,0.0,0.0
abilities,0.0,0.0,2.5
abisignorelli,0.0,0.0,2.5
abit,0.0,5.678873587267573,2.095903274289385
abject,2.5,0.0,0.0
able,2.6641978774540953,1.7484713995435075,1.9697166062767997
ableton,0.0,0.0,2.5
ably,10.318851158516171,1.4306765580733931,0.0
abolished,0.0,0.0,2.5
aborbing,0.0,2.5,0.0
aboriginal,2.5,0.0,0.0
abort,0.0,0.0,2.5
aborted,2.5,0.0,0.0
abou,2.5,0.0,0.0
aboul,0.0,2.5,0.0
abound,2.5,0.0,0.0
about,2.3139893355264567,1.6828368954558348,2.352430534564569
above,1.4947531601505835,2.2363458328106818,2.717562737549928
abq,0.0,2.5,0.0
abrahams,2.5,0.0,0.0
abrasive,1.4306765580733931,0.0,10.318851158516171
abridged,2.5,0.0,0.0
abroad,2.717562737549928,1.1832946624549385,2.717562737549928
abrupt,5.0,0.0,0.0
abruptly,0.0,5.678873587267573,2.095903274289385
abs,0.0,4.1145820804822515,2.717562737549928
absent,3.321928094887363,0.0,3.321928094887363
abslutely,0.0,0.0,2.5
abso,0.0,0.0,2.5
absol,0.0,0.0,2.5
absolute,4.1145820804822515,0.9792503710240241,2.095903274289385
absolutel,0.0,0.0,2.5
absolutely,2.5950375316654903,1.2430386895061838,2.738619360499461
absolutley,0.0,0.0,2.5
absorb,17.243773525740824,0.0,1.1073093649624544
absorbed,2.095903274289385,5.678873587267573,0.0
absorbing,4.507575551943847,1.4306765580733931,1.4306765580733931
absorbs,2.095903274289385,2.095903274289385,2.095903274289385
absoulutely,0.0,2.5,0.0
abstract,10.318851158516171,1.0,1.0
absurd,10.318851158516171,1.142777130968,0.8502741537276027
absurdist,2.095903274289385,2.095903274289385,2.095903274289385
absurdly,3.321928094887363,1.285097208938469,2.095903274289385
abt,1.6609640474436815,0.0,8.003922779651097
abundant,7.5,0.0,0.0
abundantly,3.321928094887363,0.0,3.321928094887363
abuse,0.0,4.1145820804822515,2.717562737549928
abused,2.437986966796919,1.530895350152348,2.437986966796919
abuses,0.0,0.0,2.5
abusing,0.0,5.678873587267573,2.095903274289385
abysmal,10.0,0.0,0.0
abysmally,2.5,0.0,0.0
abysmalred,0.0,0.0,2.5
ac,3.0815587699515854,1.4777736715355747,1.997593496840355
academic,5.0,0.0,0.0
academy,7.5,0.0,0.0
acc,0.0,10.0,0.0
acce,10.0,0.0,0.0
accelerated,0.0,2.5,0.0
accent,0.0,0.0,2.5
accenting,0.0,0.0,2.5
accentuate,0.0,0.0,2.5
accentuated,0.0,0.0,7.5
accentuating,2.5,0.0,0.0
accept,3.054750901711627,1.5913711273047662,1.8815421796317378
acceptable,4.827990927155451,1.0149432704289736,1.7879236136423848
